"(2.09588944, -0.2352771)","(2.09988944, -0.2352771)","(2.09988944, -0.2312771)","(2.09588944, -0.2312771)"
"(2.09188944, -0.2352771)","(2.09588944, -0.2352771)","(2.09588944, -0.2312771)","(2.09188944, -0.2312771)"
"(2.08788944, -0.2352771)","(2.09188944, -0.2352771)","(2.09188944, -0.2312771)","(2.08788944, -0.2312771)"
"(2.08388944, -0.2352771)","(2.08788944, -0.2352771)","(2.08788944, -0.2312771)","(2.08388944, -0.2312771)"
"(2.07988944, -0.2352771)","(2.08388944, -0.2352771)","(2.08388944, -0.2312771)","(2.07988944, -0.2312771)"
"(2.03188944, -0.2112771)","(2.03588944, -0.2112771)","(2.03588944, -0.2072771)","(2.03188944, -0.2072771)"
"(2.09588944, -0.2472771)","(2.09988944, -0.2472771)","(2.09988944, -0.2432771)","(2.09588944, -0.2432771)"
"(2.12388944, -0.1992771)","(2.12788944, -0.1992771)","(2.12788944, -0.1952771)","(2.12388944, -0.1952771)"
"(2.12788944, -0.1992771)","(2.13188944, -0.1992771)","(2.13188944, -0.1952771)","(2.12788944, -0.1952771)"
"(2.03188944, -0.27729463)","(2.03588944, -0.27729463)","(2.03588944, -0.27329463)","(2.03188944, -0.27329463)"
"(2.03588944, -0.27729463)","(2.03988944, -0.27729463)","(2.03988944, -0.27329463)","(2.03588944, -0.27329463)"
"(2.03988944, -0.27729463)","(2.04388944, -0.27729463)","(2.04388944, -0.27329463)","(2.03988944, -0.27329463)"
"(2.04388944, -0.27729463)","(2.04788944, -0.27729463)","(2.04788944, -0.27329463)","(2.04388944, -0.27329463)"
"(2.04788944, -0.27729463)","(2.05188944, -0.27729463)","(2.05188944, -0.27329463)","(2.04788944, -0.27329463)"
"(2.04788944, -0.27329463)","(2.05188944, -0.27329463)","(2.05188944, -0.26929463)","(2.04788944, -0.26929463)"
"(2.05188944, -0.27329463)","(2.05588944, -0.27329463)","(2.05588944, -0.26929463)","(2.05188944, -0.26929463)"
"(2.05188944, -0.27729463)","(2.05588944, -0.27729463)","(2.05588944, -0.27329463)","(2.05188944, -0.27329463)"
"(2.05188944, -0.28129463)","(2.05588944, -0.28129463)","(2.05588944, -0.27729463)","(2.05188944, -0.27729463)"
"(2.04788944, -0.28129463)","(2.05188944, -0.28129463)","(2.05188944, -0.27729463)","(2.04788944, -0.27729463)"
"(2.04388944, -0.28129463)","(2.04788944, -0.28129463)","(2.04788944, -0.27729463)","(2.04388944, -0.27729463)"
"(2.03988944, -0.28129463)","(2.04388944, -0.28129463)","(2.04388944, -0.27729463)","(2.03988944, -0.27729463)"
"(2.03588944, -0.28129463)","(2.03988944, -0.28129463)","(2.03988944, -0.27729463)","(2.03588944, -0.27729463)"
"(2.03188944, -0.28129463)","(2.03588944, -0.28129463)","(2.03588944, -0.27729463)","(2.03188944, -0.27729463)"
"(2.05588944, -0.28129463)","(2.05988944, -0.28129463)","(2.05988944, -0.27729463)","(2.05588944, -0.27729463)"
"(2.05988944, -0.28129463)","(2.06388944, -0.28129463)","(2.06388944, -0.27729463)","(2.05988944, -0.27729463)"
"(2.05988944, -0.27729463)","(2.06388944, -0.27729463)","(2.06388944, -0.27329463)","(2.05988944, -0.27329463)"
"(2.06388944, -0.28129463)","(2.06788944, -0.28129463)","(2.06788944, -0.27729463)","(2.06388944, -0.27729463)"
"(2.06788944, -0.28129463)","(2.07188944, -0.28129463)","(2.07188944, -0.27729463)","(2.06788944, -0.27729463)"
"(2.06788944, -0.27729463)","(2.07188944, -0.27729463)","(2.07188944, -0.27329463)","(2.06788944, -0.27329463)"
"(2.06788944, -0.27329463)","(2.07188944, -0.27329463)","(2.07188944, -0.26929463)","(2.06788944, -0.26929463)"
"(2.07188944, -0.27329463)","(2.07588944, -0.27329463)","(2.07588944, -0.26929463)","(2.07188944, -0.26929463)"
"(2.07188944, -0.27729463)","(2.07588944, -0.27729463)","(2.07588944, -0.27329463)","(2.07188944, -0.27329463)"
"(2.07188944, -0.28129463)","(2.07588944, -0.28129463)","(2.07588944, -0.27729463)","(2.07188944, -0.27729463)"
"(2.07588944, -0.28129463)","(2.07988944, -0.28129463)","(2.07988944, -0.27729463)","(2.07588944, -0.27729463)"
"(2.07588944, -0.27729463)","(2.07988944, -0.27729463)","(2.07988944, -0.27329463)","(2.07588944, -0.27329463)"
"(2.07588944, -0.27329463)","(2.07988944, -0.27329463)","(2.07988944, -0.26929463)","(2.07588944, -0.26929463)"
"(2.07988944, -0.27329463)","(2.08388944, -0.27329463)","(2.08388944, -0.26929463)","(2.07988944, -0.26929463)"
"(2.07988944, -0.27729463)","(2.08388944, -0.27729463)","(2.08388944, -0.27329463)","(2.07988944, -0.27329463)"
"(2.07988944, -0.28129463)","(2.08388944, -0.28129463)","(2.08388944, -0.27729463)","(2.07988944, -0.27729463)"
"(2.08388944, -0.28129463)","(2.08788944, -0.28129463)","(2.08788944, -0.27729463)","(2.08388944, -0.27729463)"
"(2.08388944, -0.27729463)","(2.08788944, -0.27729463)","(2.08788944, -0.27329463)","(2.08388944, -0.27329463)"
"(2.08388944, -0.27329463)","(2.08788944, -0.27329463)","(2.08788944, -0.26929463)","(2.08388944, -0.26929463)"
"(2.08788944, -0.27729463)","(2.09188944, -0.27729463)","(2.09188944, -0.27329463)","(2.08788944, -0.27329463)"
"(2.08788944, -0.28129463)","(2.09188944, -0.28129463)","(2.09188944, -0.27729463)","(2.08788944, -0.27729463)"
"(2.09188944, -0.28129463)","(2.09588944, -0.28129463)","(2.09588944, -0.27729463)","(2.09188944, -0.27729463)"
"(2.09188944, -0.27729463)","(2.09588944, -0.27729463)","(2.09588944, -0.27329463)","(2.09188944, -0.27329463)"
"(2.09588944, -0.27729463)","(2.09988944, -0.27729463)","(2.09988944, -0.27329463)","(2.09588944, -0.27329463)"
"(2.09588944, -0.28129463)","(2.09988944, -0.28129463)","(2.09988944, -0.27729463)","(2.09588944, -0.27729463)"
"(2.09588944, -0.28529463)","(2.09988944, -0.28529463)","(2.09988944, -0.28129463)","(2.09588944, -0.28129463)"
"(2.09988944, -0.28529463)","(2.10388944, -0.28529463)","(2.10388944, -0.28129463)","(2.09988944, -0.28129463)"
"(2.09988944, -0.28129463)","(2.10388944, -0.28129463)","(2.10388944, -0.27729463)","(2.09988944, -0.27729463)"
"(2.09988944, -0.27729463)","(2.10388944, -0.27729463)","(2.10388944, -0.27329463)","(2.09988944, -0.27329463)"
"(2.09988944, -0.27329463)","(2.10388944, -0.27329463)","(2.10388944, -0.26929463)","(2.09988944, -0.26929463)"
"(2.10388944, -0.27329463)","(2.10788944, -0.27329463)","(2.10788944, -0.26929463)","(2.10388944, -0.26929463)"
"(2.10388944, -0.27729463)","(2.10788944, -0.27729463)","(2.10788944, -0.27329463)","(2.10388944, -0.27329463)"
"(2.10388944, -0.28129463)","(2.10788944, -0.28129463)","(2.10788944, -0.27729463)","(2.10388944, -0.27729463)"
"(2.10388944, -0.28529463)","(2.10788944, -0.28529463)","(2.10788944, -0.28129463)","(2.10388944, -0.28129463)"
"(2.10788944, -0.29329463)","(2.11188944, -0.29329463)","(2.11188944, -0.28929463)","(2.10788944, -0.28929463)"
"(2.10788944, -0.28929463)","(2.11188944, -0.28929463)","(2.11188944, -0.28529463)","(2.10788944, -0.28529463)"
"(2.10788944, -0.28529463)","(2.11188944, -0.28529463)","(2.11188944, -0.28129463)","(2.10788944, -0.28129463)"
"(2.10788944, -0.28129463)","(2.11188944, -0.28129463)","(2.11188944, -0.27729463)","(2.10788944, -0.27729463)"
"(2.10788944, -0.27729463)","(2.11188944, -0.27729463)","(2.11188944, -0.27329463)","(2.10788944, -0.27329463)"
"(2.10788944, -0.27329463)","(2.11188944, -0.27329463)","(2.11188944, -0.26929463)","(2.10788944, -0.26929463)"
"(2.11188944, -0.27329463)","(2.11588944, -0.27329463)","(2.11588944, -0.26929463)","(2.11188944, -0.26929463)"
"(2.11188944, -0.27729463)","(2.11588944, -0.27729463)","(2.11588944, -0.27329463)","(2.11188944, -0.27329463)"
"(2.11188944, -0.28129463)","(2.11588944, -0.28129463)","(2.11588944, -0.27729463)","(2.11188944, -0.27729463)"
"(2.11188944, -0.28529463)","(2.11588944, -0.28529463)","(2.11588944, -0.28129463)","(2.11188944, -0.28129463)"
"(2.11188944, -0.28929463)","(2.11588944, -0.28929463)","(2.11588944, -0.28529463)","(2.11188944, -0.28529463)"
"(2.11188944, -0.29329463)","(2.11588944, -0.29329463)","(2.11588944, -0.28929463)","(2.11188944, -0.28929463)"
"(2.04039386, -0.32120079)","(2.04439386, -0.32120079)","(2.04439386, -0.31810079)","(2.04039386, -0.31810079)"
"(2.04439386, -0.32120079)","(2.04839386, -0.32120079)","(2.04839386, -0.31810079)","(2.04439386, -0.31810079)"
"(2.04839386, -0.32120079)","(2.05239386, -0.32120079)","(2.05239386, -0.31810079)","(2.04839386, -0.31810079)"
"(2.05239386, -0.32120079)","(2.05639386, -0.32120079)","(2.05639386, -0.31810079)","(2.05239386, -0.31810079)"
"(2.06039386, -0.31950079)","(2.06439386, -0.31950079)","(2.06439386, -0.31790079)","(2.06039386, -0.31790079)"
"(2.06439386, -0.31950079)","(2.06839386, -0.31950079)","(2.06839386, -0.31790079)","(2.06439386, -0.31790079)"
"(2.06839386, -0.32190079)","(2.07239386, -0.32190079)","(2.07239386, -0.31790079)","(2.06839386, -0.31790079)"
"(2.07239386, -0.31950079)","(2.07639386, -0.31950079)","(2.07639386, -0.31790079)","(2.07239386, -0.31790079)"
"(2.07639386, -0.31950079)","(2.08039386, -0.31950079)","(2.08039386, -0.31790079)","(2.07639386, -0.31790079)"
"(2.09239386, -0.32090079)","(2.09639386, -0.32090079)","(2.09639386, -0.31890079)","(2.09239386, -0.31890079)"
"(2.09639386, -0.32090079)","(2.10039386, -0.32090079)","(2.10039386, -0.31890079)","(2.09639386, -0.31890079)"
"(2.10039386, -0.32090079)","(2.10439386, -0.32090079)","(2.10439386, -0.31890079)","(2.10039386, -0.31890079)"
"(2.10439386, -0.32090079)","(2.10839386, -0.32090079)","(2.10839386, -0.31890079)","(2.10439386, -0.31890079)"
"(2.01165427, -0.34614855)","(2.01565427, -0.34614855)","(2.01565427, -0.34414855)","(2.01165427, -0.34414855)"
"(2.01565427, -0.34614855)","(2.01965427, -0.34614855)","(2.01965427, -0.34414855)","(2.01565427, -0.34414855)"
"(2.01965427, -0.34614855)","(2.02365427, -0.34614855)","(2.02365427, -0.34414855)","(2.01965427, -0.34414855)"
"(2.02365427, -0.34614855)","(2.02765427, -0.34614855)","(2.02765427, -0.34414855)","(2.02365427, -0.34414855)"
"(2.01165427, -0.35614855)","(2.01565427, -0.35614855)","(2.01565427, -0.35414855)","(2.01165427, -0.35414855)"
"(2.01565427, -0.35614855)","(2.01965427, -0.35614855)","(2.01965427, -0.35414855)","(2.01565427, -0.35414855)"
"(2.01965427, -0.35614855)","(2.02365427, -0.35614855)","(2.02365427, -0.35414855)","(2.01965427, -0.35414855)"
"(2.02365427, -0.35614855)","(2.02765427, -0.35614855)","(2.02765427, -0.35414855)","(2.02365427, -0.35414855)"
"(2.02765427, -0.35614855)","(2.03165427, -0.35614855)","(2.03165427, -0.35214855)","(2.02765427, -0.35214855)"
"(2.02765427, -0.35214855)","(2.03165427, -0.35214855)","(2.03165427, -0.34814855)","(2.02765427, -0.34814855)"
"(2.02765427, -0.34814855)","(2.03165427, -0.34814855)","(2.03165427, -0.34414855)","(2.02765427, -0.34414855)"
"(2.03165427, -0.34814855)","(2.03565427, -0.34814855)","(2.03565427, -0.34414855)","(2.03165427, -0.34414855)"
"(2.03165427, -0.35214855)","(2.03565427, -0.35214855)","(2.03565427, -0.34814855)","(2.03165427, -0.34814855)"
"(2.03165427, -0.35614855)","(2.03565427, -0.35614855)","(2.03565427, -0.35214855)","(2.03165427, -0.35214855)"
"(2.03565427, -0.35614855)","(2.03965427, -0.35614855)","(2.03965427, -0.35214855)","(2.03565427, -0.35214855)"
"(2.03565427, -0.35214855)","(2.03965427, -0.35214855)","(2.03965427, -0.34814855)","(2.03565427, -0.34814855)"
"(2.03565427, -0.34814855)","(2.03965427, -0.34814855)","(2.03965427, -0.34414855)","(2.03565427, -0.34414855)"
